dias;minimo;maximo;sorotipo;autor;ano
5;0;5;NA;Graham;1903
6;0;6;NA;Graham;1903
4;0;4;NA;Graham;1903
4;0;4;NA;Graham;1903
5;0;5;NA;Graham;1903
6;0;6;NA;Graham;1903
6;NA;NA;NA;Bancroft;1906
5;NA;NA;NA;Bancroft;1906
8,2;NA;NA;NA;Cleland;1916
5,7;5;6,4;NA;Cleland;1916
9,4;NA;NA;NA;Cleland;1916
7,8;NA;NA;NA;Cleland;1916
5,8;NA;NA;NA;Chandler;1923
6,2;NA;NA;NA;Chandler;1923
6,5;NA;NA;NA;Chandler;1923
4,1;NA;NA;NA;Chandler;1923
4,25;NA;NA;DENV_4;Siler;1926
4,5;NA;NA;DENV_4;Siler;1926
5,5;NA;NA;DENV_4;Siler;1926
5,75;NA;NA;DENV_4;Siler;1926
5,5;NA;NA;DENV_4;Siler;1926
7,25;NA;NA;DENV_4;Siler;1926
7,5;NA;NA;DENV_4;Siler;1926
5,75;NA;NA;DENV_4;Siler;1926
4,5;NA;NA;DENV_4;Siler;1926
4,75;NA;NA;DENV_4;Siler;1926
9,25;NA;NA;DENV_4;Siler;1926
8,25;4,25;12,25;DENV_4;Siler;1926
8,25;NA;NA;DENV_4;Siler;1926
6,75;NA;NA;DENV_4;Siler;1926
12,75;7,25;18,25;DENV_4;Siler;1926
4,75;NA;NA;DENV_4;Siler;1926
8,5;NA;NA;DENV_4;Siler;1926
5,25;NA;NA;DENV_4;Siler;1926
9,75;4,75;14,75;DENV_4;Siler;1926
10;NA;NA;DENV_4;Siler;1926
8,25;NA;NA;DENV_4;Siler;1926
6,75;NA;NA;DENV_4;Siler;1926
7,75;NA;NA;DENV_4;Siler;1926
4,25;NA;NA;DENV_4;Siler;1926
6,25;NA;NA;DENV_4;Siler;1926
5,25;NA;NA;DENV_4;Siler;1926
4,25;NA;NA;DENV_4;Siler;1926
5,25;NA;NA;DENV_4;Siler;1926
5,5;NA;NA;DENV_4;Siler;1926
5,5;NA;NA;DENV_4;Siler;1926
5,5;NA;NA;DENV_4;Siler;1926
5,75;NA;NA;DENV_4;Siler;1926
11,37;5,75;17;DENV_4;Siler;1926
11,5;6,5;16,5;DENV_4;Siler;1926
10;5,5;14,5;DENV_4;Siler;1926
5,25;NA;NA;DENV_4;Siler;1926
5,25;NA;NA;DENV_4;Siler;1926
7,5;NA;NA;DENV_4;Siler;1926
5,5;NA;NA;DENV_4;Siler;1926
7,5;NA;NA;DENV_4;Siler;1926
6,25;NA;NA;DENV_4;Siler;1926
6,75;NA;NA;DENV_4;Siler;1926
5;NA;NA;DENV_4;Siler;1926
6,5;NA;NA;DENV_4;Siler;1926
4,75;NA;NA;DENV_4;Siler;1926
4,75;NA;NA;DENV_4;Siler;1926
4,5;NA;NA;DENV_4;Siler;1926
6;NA;NA;NA;Schule;1928
13,5;7;20;NA;Schule;1928
10,5;5;16;NA;Schule;1928
14,5;9;20;NA;Schule;1928
9,5;5;14;NA;Schule;1928
12;7;17;NA;Schule;1928
9;NA;NA;NA;Schule;1928
6;NA;NA;NA;Schule;1928
5;NA;NA;NA;Schule;1928
6;NA;NA;NA;Snijders;1931
4,5;3;6;NA;Snijders;1931
5;NA;NA;NA;Snijders;1931
9;NA;NA;DENV_1;Simmons;1931
7;NA;NA;DENV_1;Simmons;1931
6;NA;NA;DENV_1;Simmons;1931
7,5;NA;NA;DENV_1;Simmons;1931
5;NA;NA;DENV_1;Simmons;1931
5;NA;NA;DENV_1;Simmons;1931
5;NA;NA;DENV_1;Simmons;1931
6;NA;NA;DENV_1;Simmons;1931
6;NA;NA;DENV_1;Simmons;1931
